"Pathway","Group_ref","Group_test","Comparison","Mean_ref","Mean_test","Median_ref","Median_test","Prevalence_ref","Prevalence_test","Mean_difference","Log2FC","P_value","FDR","Pathway_ID","Description","Direction","NegLog10P","NegLog10FDR"
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","ITM","OTM1","OTM1 vs ITM",7.34339066666667e-05,6.306195e-05,7.13466e-05,6.06106e-05,30,30,-1.03719566666667e-05,-0.219676248238281,0.0772719759293395,0.23030079100509,"PWY-7357","thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","Not significant",1.11197798222583,0.637704570378991
"PWY-6531: mannitol cycle","ITM","OTM1","OTM1 vs ITM",2.62581203333333e-06,2.0207412e-06,2.65146e-06,1.985845e-06,30,28,-6.05070833333333e-07,-0.377862629963646,0.0797774615881014,0.235459692454202,"PWY-6531","mannitol cycle","Not significant",1.09811978647465,0.628083427571068
"PWY-7238: sucrose biosynthesis II","ITM","OTM1","OTM1 vs ITM",0.000514347866666667,0.000472623366666667,0.000492584,0.0004601875,30,30,-4.17245e-05,-0.122053438026147,0.0823571708823862,0.240736345656206,"PWY-7238","sucrose biosynthesis II","Not significant",1.08429858059786,0.618458336287884
"PWY-4041: &gamma;-glutamyl cycle","ITM","OTM1","OTM1 vs ITM",2.752352e-05,2.40661e-05,2.712655e-05,2.283115e-05,30,30,-3.45742e-06,-0.193661869247891,0.0849996974869641,0.243772717321105,"PWY-4041","&gamma;-glutamyl cycle","Not significant",1.07058261993248,0.6130149015885
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation","ITM","OTM1","OTM1 vs ITM",3.42603866666667e-05,3.74012933333333e-05,3.479895e-05,3.6098e-05,30,30,3.14090666666667e-06,0.126546371672883,0.0849996974869641,0.243772717321105,"GLUCUROCAT-PWY","superpathway of &beta;-D-glucuronosides degradation","Not significant",1.07058261993248,0.6130149015885
"PWY-5656: mannosylglycerate biosynthesis I","ITM","OTM1","OTM1 vs ITM",2.36367053333333e-06,1.14603293333333e-06,1.508615e-06,5.627175e-07,22,20,-1.2176376e-06,-1.04431560681166,0.0917763181567073,0.246744366471607,"PWY-5656","mannosylglycerate biosynthesis I","Not significant",1.03726936913318,0.607752754112122
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)","ITM","OTM1","OTM1 vs ITM",6.700694e-06,4.40198473333333e-06,5.328325e-06,3.80049e-06,27,25,-2.29870926666667e-06,-0.606145140420884,0.0887185327877441,0.246744366471607,"PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","Not significant",1.05198564908901,0.607752754112122
"PWY-6876: isopropanol biosynthesis (engineered)","ITM","OTM1","OTM1 vs ITM",1.52864026666667e-06,2.08982776666667e-06,1.5486e-06,2.01693e-06,28,28,5.611875e-07,0.451109766589302,0.0876663283659677,0.246744366471607,"PWY-6876","isopropanol biosynthesis (engineered)","Not significant",1.05716718215093,0.607752754112122
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","ITM","OTM1","OTM1 vs ITM",1.44547183333333e-05,1.1865032e-05,1.391485e-05,1.107925e-05,30,30,-2.58968633333333e-06,-0.284822326633456,0.0933407965270883,0.246744366471607,"PWY-7323","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","Not significant",1.02992849736726,0.607752754112122
"PWY-7345: superpathway of anaerobic sucrose degradation","ITM","OTM1","OTM1 vs ITM",6.97475e-05,6.162426e-05,6.63532e-05,5.78056e-05,30,30,-8.12324000000001e-06,-0.178642816513971,0.0933407965270883,0.246744366471607,"PWY-7345","superpathway of anaerobic sucrose degradation","Not significant",1.02992849736726,0.607752754112122
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis","ITM","OTM1","OTM1 vs ITM",0.000163216066666667,0.000148158063333333,0.000165107,0.000151691,30,30,-1.50580033333333e-05,-0.139645845043203,0.0877103774809814,0.246744366471607,"COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","Not significant",1.05694901990535,0.607752754112122
"PWY-6151: S-adenosyl-L-methionine salvage I","ITM","OTM1","OTM1 vs ITM",0.0002623862,0.000238784066666667,0.00025145,0.0002394845,30,30,-2.36021333333333e-05,-0.135985217000518,0.0933407965270883,0.246744366471607,"PWY-6151","S-adenosyl-L-methionine salvage I","Not significant",1.02992849736726,0.607752754112122
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)","ITM","OTM1","OTM1 vs ITM",0.000222982966666667,0.000204637166666667,0.0002162795,0.000206653,30,30,-1.83458e-05,-0.123865256618725,0.0933407965270883,0.246744366471607,"PWY-6385","peptidoglycan biosynthesis III (mycobacteria)","Not significant",1.02992849736726,0.607752754112122
"THRESYN-PWY: superpathway of L-threonine biosynthesis","ITM","OTM1","OTM1 vs ITM",0.000189672833333333,0.000179830233333333,0.0001845135,0.000174775,30,30,-9.84259999999999e-06,-0.0768774266863206,0.090490360906144,0.246744366471607,"THRESYN-PWY","superpathway of L-threonine biosynthesis","Not significant",1.04339767967019,0.607752754112122
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I","ITM","OTM1","OTM1 vs ITM",0.000231993066666667,0.000213106033333333,0.0002313785,0.000219529,30,30,-1.88870333333333e-05,-0.12251019613296,0.0962628310361518,0.252275005474053,"PWY-7229","superpathway of adenosine nucleotides de novo biosynthesis I","Not significant",1.01654137011244,0.598125775730606
"PWY0-1479: tRNA processing","ITM","OTM1","OTM1 vs ITM",1.13842256666667e-05,8.225136e-06,7.005295e-06,5.150495e-06,27,26,-3.15908966666667e-06,-0.468919859515381,0.10205921803713,0.254976930664821,"PWY0-1479","tRNA processing","Not significant",0.991147763492133,0.593499111088361
"PWY-6160: 3-dehydroquinate biosynthesis II (archaea)","ITM","OTM1","OTM1 vs ITM",5.76417966666667e-05,5.01785443333333e-05,6.05248e-05,4.670495e-05,30,30,-7.46325233333334e-06,-0.200044312911781,0.10232626822733,0.254976930664821,"PWY-6160","3-dehydroquinate biosynthesis II (archaea)","Not significant",0.990012864022367,0.593499111088361
"PWY-5690: TCA cycle II (plants and fungi)","ITM","OTM1","OTM1 vs ITM",3.455953e-05,3.0199355e-05,3.528265e-05,3.16655e-05,30,30,-4.360175e-06,-0.194565257974086,0.10232626822733,0.254976930664821,"PWY-5690","TCA cycle II (plants and fungi)","Not significant",0.990012864022367,0.593499111088361
